run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration,drone_1_start_pos,drone_1_found_in_iteration,drone_2_start_pos,drone_2_found_in_iteration,drone_3_start_pos,drone_3_found_in_iteration,drone_4_start_pos,drone_4_found_in_iteration,drone_5_start_pos,drone_5_found_in_iteration,drone_6_start_pos,drone_6_found_in_iteration,drone_7_start_pos,drone_7_found_in_iteration,drone_8_start_pos,drone_8_found_in_iteration,drone_9_start_pos,drone_9_found_in_iteration,drone_10_start_pos,drone_10_found_in_iteration,drone_11_start_pos,drone_11_found_in_iteration,drone_12_start_pos,drone_12_found_in_iteration,drone_13_start_pos,drone_13_found_in_iteration,drone_14_start_pos,drone_14_found_in_iteration,drone_15_start_pos,drone_15_found_in_iteration,drone_16_start_pos,drone_16_found_in_iteration,drone_17_start_pos,drone_17_found_in_iteration,drone_18_start_pos,drone_18_found_in_iteration,drone_19_start_pos,drone_19_found_in_iteration,drone_20_start_pos,drone_20_found_in_iteration,drone_21_start_pos,drone_21_found_in_iteration,drone_22_start_pos,drone_22_found_in_iteration,drone_23_start_pos,drone_23_found_in_iteration,drone_24_start_pos,drone_24_found_in_iteration
11,25,True,1,"[-3.7912960954328954, 4.503282685823905, 1.0]","[-4, -4, 1.0]",175,"[-4, 4, 1.0]",1,"[4, -4, 1.0]",230,"[4, 4, 1.0]",143,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",111,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",227,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",218,"[-3, 0, 1.0]",105,"[3, 0, 1.0]",227,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",159,"[-4, 4, 1.0]",1,"[4, -4, 1.0]",170,"[4, 4, 1.0]",171
12,25,True,1,"[-2.350917249728488, -1.5955466016822806, 1.0]","[-4, -4, 1.0]",22,"[-4, 4, 1.0]",15,"[4, -4, 1.0]",41,"[4, 4, 1.0]",226,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",1,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",114,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",24,"[-3, 0, 1.0]",4,"[3, 0, 1.0]",58,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",123,"[-4, 4, 1.0]",27,"[4, -4, 1.0]",49,"[4, 4, 1.0]",171
13,25,True,60,"[1.024493452158124, -1.0526016086240118, 1.0]","[-4, -4, 1.0]",404,"[-4, 4, 1.0]",202,"[4, -4, 1.0]",60,"[4, 4, 1.0]",3704,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",260,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",2049,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",225,"[-3, 0, 1.0]",1864,"[3, 0, 1.0]",1869,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",998,"[-4, 4, 1.0]",752,"[4, -4, 1.0]",626,"[4, 4, 1.0]",489
14,25,True,3,"[-2.440246921796325, 2.4212881143375045, 1.0]","[-4, -4, 1.0]",130,"[-4, 4, 1.0]",3,"[4, -4, 1.0]",103,"[4, 4, 1.0]",128,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",28,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",52,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",83,"[-3, 0, 1.0]",22,"[3, 0, 1.0]",79,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",303,"[-4, 4, 1.0]",5,"[4, -4, 1.0]",104,"[4, 4, 1.0]",118
15,25,True,9,"[-4.2312331154657254, -4.683018223711088, 1.0]","[-4, -4, 1.0]",19,"[-4, 4, 1.0]",236,"[4, -4, 1.0]",208,"[4, 4, 1.0]",455,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",249,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",549,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",158,"[-3, 0, 1.0]",214,"[3, 0, 1.0]",202,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",9,"[-4, 4, 1.0]",266,"[4, -4, 1.0]",243,"[4, 4, 1.0]",306
16,25,True,4,"[0.8998582871801508, 2.4630331102629217, 1.0]","[-4, -4, 1.0]",184,"[-4, 4, 1.0]",81,"[4, -4, 1.0]",130,"[4, 4, 1.0]",49,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",230,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",4,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",134,"[-3, 0, 1.0]",70,"[3, 0, 1.0]",27,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",194,"[-4, 4, 1.0]",43,"[4, -4, 1.0]",169,"[4, 4, 1.0]",52
17,25,True,3,"[1.8412871978970635, -3.2333974125882703, 1.0]","[-4, -4, 1.0]",93,"[-4, 4, 1.0]",102,"[4, -4, 1.0]",3,"[4, 4, 1.0]",293,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",39,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",197,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",28,"[-3, 0, 1.0]",189,"[3, 0, 1.0]",190,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",210,"[-4, 4, 1.0]",41,"[4, -4, 1.0]",30,"[4, 4, 1.0]",193
18,25,True,14,"[0.06196505097123506, -3.5074384106738696, 1.0]","[-4, -4, 1.0]",32,"[-4, 4, 1.0]",70,"[4, -4, 1.0]",27,"[4, 4, 1.0]",116,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",35,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",190,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",34,"[-3, 0, 1.0]",14,"[3, 0, 1.0]",126,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",24,"[-4, 4, 1.0]",40,"[4, -4, 1.0]",17,"[4, 4, 1.0]",124
19,25,True,4,"[1.9591061541942478, -2.6910520386880576, 1.0]","[-4, -4, 1.0]",50,"[-4, 4, 1.0]",46,"[4, -4, 1.0]",4,"[4, 4, 1.0]",122,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",43,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",94,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",18,"[-3, 0, 1.0]",151,"[3, 0, 1.0]",52,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",111,"[-4, 4, 1.0]",72,"[4, -4, 1.0]",4,"[4, 4, 1.0]",100
20,25,True,19,"[-2.0687264298373242, 4.865531252746786, 1.0]","[-4, -4, 1.0]",350,"[-4, 4, 1.0]",56,"[4, -4, 1.0]",224,"[4, 4, 1.0]",152,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",71,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",121,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",259,"[-3, 0, 1.0]",111,"[3, 0, 1.0]",244,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1,"[1, 1, 1.0]",-1,"[-4, -4, 1.0]",160,"[-4, 4, 1.0]",19,"[4, -4, 1.0]",161,"[4, 4, 1.0]",90
